lat,lon,alt
32.869536,-117.220439,93.3
32.869535,-117.220438,93.4
32.869535,-117.220438,93.4
32.869535,-117.220439,93.4
32.869536,-117.220441,93.4
32.869538,-117.220443,93.4
32.86954,-117.220444,93.3
32.869543,-117.220447,93.3
32.869544,-117.220448,93.3
32.869544,-117.220448,93.3
32.869545,-117.220449,93.3
32.869545,-117.220449,93.3
32.869545,-117.22045,93.3
32.869545,-117.220451,93.3
32.869545,-117.220451,93.4
32.869544,-117.220453,93.3
32.869545,-117.220456,93.3
32.869546,-117.220457,93.3
32.869547,-117.22046,93.3
32.869548,-117.220461,93.3
32.869548,-117.220462,93.4
32.869549,-117.220463,93.4
32.869549,-117.220463,93.4
32.869549,-117.220464,93.4
32.869549,-117.220464,93.4
32.869549,-117.220465,93.4
32.869549,-117.220465,93.5
32.869549,-117.220465,93.5
32.86955,-117.220465,93.5
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.4
32.86955,-117.220464,93.3
32.86955,-117.220464,93.4
32.86955,-117.220463,93.4
32.86955,-117.220461,93.4
32.869551,-117.220461,93.4
32.869551,-117.220461,93.4
32.86955,-117.220461,93.3
32.86955,-117.220461,93.3
32.86955,-117.22046,93.4
32.869549,-117.220457,93.3
32.869547,-117.220457,93.3
32.869545,-117.220456,93.3
32.869543,-117.220456,93.3
32.869541,-117.220456,93.3
32.869539,-117.220456,93.3
32.869538,-117.220457,93.3
32.869536,-117.220457,93.4
32.869535,-117.220457,93.5
32.869535,-117.220458,93.5
32.869533,-117.220459,93.6
32.869572,-117.220493,98.2
32.869571,-117.220493,98.2
32.869571,-117.220492,98.2
32.86957,-117.220492,98.2
32.869567,-117.22049,98.2
32.869567,-117.220489,98.3
32.869565,-117.220489,98.3
32.869564,-117.220489,98.3
32.869561,-117.220488,98.3
32.86956,-117.220487,98.3
32.869558,-117.220486,98.3
32.869555,-117.220485,98.3
32.869554,-117.220485,98.2
32.869553,-117.220485,98.2
32.869552,-117.220485,98.2
32.869552,-117.220485,98.2
32.869551,-117.220485,98.2
32.869551,-117.220485,98.2
32.869551,-117.220485,98.2
32.869551,-117.220485,98.2
32.869551,-117.220484,98.3
32.86955,-117.220482,98.3
32.869549,-117.220481,98.3
32.869548,-117.220479,98.3
32.869547,-117.220478,98.4
32.869546,-117.220477,98.4
32.869545,-117.220473,98.4
32.869541,-117.220468,98.3
32.86954,-117.220466,98.3
32.869539,-117.220463,98.3
32.869538,-117.220462,98.3
32.869538,-117.220462,98.2
32.869539,-117.22046,98.2
32.86954,-117.22046,98.2
32.86954,-117.220459,98.2
32.869541,-117.220458,98.2
32.869542,-117.220458,98.2
32.869542,-117.220456,98.2
32.869544,-117.220454,98.2
32.869545,-117.220452,98.2
32.869546,-117.220452,98.2
32.869546,-117.220451,98.2
32.869546,-117.220451,98.2
32.869545,-117.22045,98.2
32.869544,-117.22045,98.2
32.869544,-117.22045,98.2
32.869544,-117.22045,98.3
32.869543,-117.22045,98.3
32.869542,-117.22045,98.3
32.869541,-117.220451,98.3
32.86954,-117.220451,98.3
32.86954,-117.220451,98.3
32.869539,-117.220451,98.3
32.869537,-117.220451,98.3
32.869536,-117.220451,98.3
32.869536,-117.220452,98.3
32.869535,-117.220453,98.4
32.869535,-117.220453,98.4
32.869535,-117.220455,98.5
32.869549,-117.220485,95.3
32.869548,-117.220484,95.3
32.869545,-117.220481,95.3
32.869553,-117.220489,95.4
32.869557,-117.220493,95.5
32.869557,-117.220493,95.5
32.869557,-117.220492,95.6
32.869557,-117.220492,95.7
32.869558,-117.220492,95.7
32.869558,-117.220492,95.8
32.869558,-117.220492,95.8
32.869557,-117.220491,95.8
32.869557,-117.220489,95.9
32.869557,-117.220489,96.0
32.869558,-117.220488,96.1
32.869558,-117.220488,96.2
32.869558,-117.220488,96.2
32.869558,-117.220487,96.2
32.869558,-117.220486,96.1
32.869558,-117.220484,96.1
32.869557,-117.220484,96.1
32.869557,-117.220483,96.1
32.869557,-117.220483,96.2
32.869556,-117.220482,96.1
32.869556,-117.22048,96.1
32.869555,-117.220479,96.1
32.869555,-117.220479,96.1
32.869554,-117.220478,96.1
32.869554,-117.220477,96.1
32.869554,-117.220476,96.0
32.869553,-117.220475,96.0
32.869552,-117.220474,95.9
32.869552,-117.220473,95.9
32.869551,-117.220473,95.8
32.869551,-117.220472,95.8
32.86955,-117.220471,95.8
32.86955,-117.22047,95.7
32.869549,-117.220468,95.6
32.869549,-117.220467,95.6
32.869549,-117.220467,95.5
32.869549,-117.220467,95.5
32.869551,-117.220467,95.5
32.869552,-117.220467,95.5
32.869553,-117.220468,95.6
32.869555,-117.220469,95.6
32.869556,-117.22047,95.6
32.869557,-117.220471,95.6
32.869557,-117.220472,95.6
32.869558,-117.220474,95.6
32.869558,-117.220474,95.6
32.869559,-117.220476,95.7
32.869559,-117.220477,95.7
32.869559,-117.220487,95.6
32.869557,-117.220484,95.6
32.869556,-117.220485,95.7
32.869554,-117.220485,95.7
32.869552,-117.220485,95.7
32.869552,-117.220484,95.6
32.869551,-117.220484,95.6
32.86955,-117.220482,95.3
32.869549,-117.220481,95.1
32.869548,-117.22048,94.8
32.869547,-117.220478,94.7
32.869546,-117.220477,94.7
32.869545,-117.220475,94.5
32.869544,-117.220475,94.4
32.869545,-117.220474,94.2
32.869545,-117.220474,94.0
32.869545,-117.220474,93.8
32.869545,-117.220474,93.7
32.869546,-117.220473,93.5
32.869546,-117.220473,93.4
32.869546,-117.220473,93.2
32.869547,-117.220473,93.1
32.869547,-117.220473,93.1
32.869548,-117.22047,93.0
32.869549,-117.220468,93.0
32.869549,-117.220466,92.9
32.869548,-117.220465,92.9
32.869547,-117.220463,92.9
32.869546,-117.220461,92.9
32.869545,-117.220459,92.9
32.869544,-117.220458,93.0
32.869543,-117.220457,93.0
32.869542,-117.220456,92.9
32.86954,-117.220455,92.9
32.869538,-117.220454,93.0
32.869537,-117.220453,93.0
32.869536,-117.220453,93.0
32.869535,-117.220453,92.9
32.869535,-117.220453,92.9
32.869533,-117.220452,92.8
32.869532,-117.22045,92.8
32.869532,-117.220451,92.9
32.869533,-117.220451,92.9
32.869533,-117.22045,93.0
32.869534,-117.22045,93.0
32.869534,-117.220449,93.0
32.869534,-117.220448,93.0
32.869534,-117.220448,92.9
32.869534,-117.220448,92.8
32.869534,-117.220448,92.8
32.869535,-117.220448,92.7
32.869535,-117.220448,92.7
32.869536,-117.220448,92.6
32.869538,-117.220466,98.2
32.86954,-117.220469,98.3
32.869548,-117.220483,98.4
32.869549,-117.220486,98.3
32.869551,-117.220488,98.3
32.869553,-117.220491,98.3
32.869555,-117.220494,98.3
32.869556,-117.220495,98.2
32.869557,-117.220496,98.2
32.869558,-117.220497,98.2
32.869559,-117.220497,98.2
32.86956,-117.220497,98.2
32.86956,-117.220497,98.3
32.869561,-117.220497,98.2
32.869561,-117.220497,98.3
32.869561,-117.220497,98.3
32.869562,-117.220497,98.2
32.869563,-117.220497,98.2
32.869563,-117.220498,98.2
32.869564,-117.220499,98.2
32.869564,-117.220499,98.2
32.869565,-117.220501,98.2
32.869566,-117.220503,97.4
32.869567,-117.220502,96.9
32.869568,-117.220501,96.8
32.869568,-117.220498,96.6
32.86957,-117.220494,96.5
32.869572,-117.220491,96.3
32.869573,-117.22049,96.3
32.869573,-117.220488,96.2
32.869573,-117.220487,96.2
32.869572,-117.220485,96.1
32.869572,-117.220484,96.1
32.869571,-117.220483,96.0
32.86957,-117.220482,96.0
32.869569,-117.220482,96.1
32.869569,-117.220482,96.1
32.869568,-117.220482,96.1
32.869567,-117.220482,96.1
32.869566,-117.220481,96.1
32.869566,-117.220481,96.1
32.869565,-117.22048,96.0
32.869564,-117.22048,96.0
32.869563,-117.22048,95.9
32.869561,-117.220479,95.9
32.86956,-117.220479,95.8
32.86956,-117.220479,95.7
32.869559,-117.220479,95.6
32.86956,-117.220479,95.6
32.869558,-117.220479,95.6
32.869557,-117.220478,95.6
32.869557,-117.220478,95.5
32.869558,-117.220478,95.5
32.869558,-117.220479,95.5
32.86956,-117.22048,95.5
32.86956,-117.22048,95.6
