lat,lon,alt,x,y
32.869536,-117.22043899999998,93.3,-2452852.1359799276,-4768549.139261218
32.869535,-117.220438,93.4,-2452852.118703818,-4768549.310285369
32.869535,-117.220438,93.4,-2452852.118703818,-4768549.310285369
32.869535,-117.22043899999998,93.4,-2452852.2019307017,-4768549.267475024
32.869536,-117.220441,93.4,-2452852.3408523872,-4768549.128329664
32.869538,-117.220443,93.4,-2452852.4522419786,-4768548.935659633
32.86954,-117.220444,93.3,-2452852.441985982,-4768548.711110812
32.869543,-117.220447,93.3,-2452852.609070323,-4768548.422105748
32.869544,-117.220448,93.3,-2452852.664765097,-4768548.325770723
32.869544,-117.220448,93.3,-2452852.664765097,-4768548.325770723
32.869545,-117.220449,93.3,-2452852.7204598687,-4768548.229435695
32.869545,-117.220449,93.3,-2452852.7204598687,-4768548.229435695
32.869545,-117.22045,93.3,-2452852.8036867357,-4768548.186625338
32.869545,-117.220451,93.3,-2452852.8869136,-4768548.143814981
32.869545,-117.220451,93.4,-2452852.9253323036,-4768548.218504108
32.869544,-117.220453,93.3,-2452853.080899432,-4768548.111718929
32.869545,-117.220456,93.3,-2452853.3030479206,-4768547.929763167
32.869546,-117.220457,93.3,-2452853.3587426743,-4768547.833428132
32.869547,-117.22046,93.3,-2452853.580891143,-4768547.651472354
32.869547999999995,-117.220461,93.3,-2452853.6365858885,-4768547.555137312
32.869547999999995,-117.220462,93.4,-2452853.7582314606,-4768547.587016055
32.869549,-117.220463,93.4,-2452853.8139262027,-4768547.49068101
32.869549,-117.220463,93.4,-2452853.8139262027,-4768547.49068101
32.869549,-117.220464,93.4,-2452853.897153057,-4768547.4478706345
32.869549,-117.220464,93.4,-2452853.897153057,-4768547.4478706345
32.869549,-117.220465,93.4,-2452853.9803799107,-4768547.405060257
32.869549,-117.220465,93.5,-2452854.01879863,-4768547.4797493685
32.869549,-117.220465,93.5,-2452854.01879863,-4768547.4797493685
32.86955,-117.220465,93.5,-2452853.9912665132,-4768547.426224696
32.86955,-117.220464,93.4,-2452853.8696209416,-4768547.394345962
32.86955,-117.220464,93.4,-2452853.8696209416,-4768547.394345962
32.86955,-117.220464,93.4,-2452853.8696209416,-4768547.394345962
32.86955,-117.220464,93.4,-2452853.8696209416,-4768547.394345962
32.86955,-117.220464,93.4,-2452853.8696209416,-4768547.394345962
32.86955,-117.220464,93.4,-2452853.8696209416,-4768547.394345962
32.86955,-117.220464,93.3,-2452853.8312022225,-4768547.319656848
32.86955,-117.220464,93.4,-2452853.8696209416,-4768547.394345962
32.86955,-117.220463,93.4,-2452853.786394088,-4768547.437156337
