lat,lon,alt
32.869456,-117.220815,101.1
32.869455,-117.220815,101.3
32.869456,-117.220816,101.3
32.869456,-117.220816,101.2
32.869456,-117.220814,101.2
32.869455,-117.220809,101.3
32.869455,-117.220806,101.3
32.869454,-117.220805,101.3
32.869451,-117.220803,101.3
32.86945,-117.2208,101.3
32.869448,-117.220796,101.2
32.869447,-117.220796,101.2
32.869446,-117.220796,101.1
32.869444,-117.220797,101.0
32.869443,-117.220798,101.0
32.869442,-117.220799,101.0
32.86944,-117.2208,100.9
32.869438,-117.2208,100.8
32.869436,-117.2208,100.8
