lat,lon,alt
32.869469,-117.22082,101.5
32.869468,-117.220821,101.5
32.869468,-117.22082,101.5
32.869468,-117.22082,101.5
32.869468,-117.220819,101.5
32.869469,-117.220817,102.1
32.869468,-117.220816,102.1
32.869468,-117.220815,102.0
32.869467,-117.220813,101.9
32.869466,-117.220809,101.7
32.869465,-117.220806,101.6
32.869464,-117.220803,101.4
32.869464,-117.2208,101.3
32.869464,-117.220796,101.3
32.869462,-117.220792,101.3
32.869463,-117.220787,100.9
32.869464,-117.220786,100.2
32.869464,-117.220787,100.4
32.869463,-117.220786,100.5
32.869461,-117.220786,100.7
32.869459,-117.220784,100.8
32.869457,-117.220782,101.0
32.869455,-117.22078,101.1
