lat,lon,alt
32.869484,-117.220793,113.7
32.869484,-117.220792,113.7
32.869484,-117.220791,113.7
32.869484,-117.220789,113.7
32.869483,-117.220789,113.7
32.869482,-117.220789,113.7
32.869482,-117.220788,113.7
32.869481,-117.220788,113.7
32.869481,-117.220787,113.8
32.869481,-117.220785,113.8
32.869482,-117.220784,113.8
32.869482,-117.220782,113.8
32.869482,-117.22078,113.9
32.869485,-117.220777,113.8
32.869485,-117.220775,113.8
32.869485,-117.220774,113.7
32.869486,-117.220774,113.6
32.869487,-117.220776,113.5
