lat=32.869433,lon=-117.220828,alt=100.8
lat=32.869432,lon=-117.220830,alt=100.5
lat=32.869434,lon=-117.220827,alt=100.4
lat=32.869436,lon=-117.220816,alt=100.3
lat=32.869438,lon=-117.220806,alt=100.3
lat=32.869437,lon=-117.220798,alt=100.3
lat=32.869436,lon=-117.220797,alt=100.3
lat=32.869435,lon=-117.220797,alt=100.3
lat=32.869436,lon=-117.220799,alt=100.3
lat=32.869436,lon=-117.220800,alt=100.2
lat=32.869437,lon=-117.220801,alt=100.1
lat=32.869437,lon=-117.220801,alt=100.1
lat=32.869437,lon=-117.220802,alt=100.1
lat=32.869437,lon=-117.220802,alt=100.1
lat=32.869437,lon=-117.220803,alt=100.1
lat=32.869437,lon=-117.220803,alt=100.1
lat=32.869437,lon=-117.220803,alt=100.1
lat=32.869437,lon=-117.220804,alt=100.1
lat=32.869437,lon=-117.220805,alt=100.1
